electionrecordid,raceorder,votes,reported,race,candidate,town,party,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,,,,Congress District 2 (D),Emily Ann Cain,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Congress District 2 (D),Emily Ann Cain,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Congress District 2 (D),Emily Ann Cain,Bar Harbor,D,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Congress District 2 (D),Emily Ann Cain,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Congress District 2 (D),Emily Ann Cain,Brooklin,D,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Congress District 2 (D),Emily Ann Cain,Brooksville,D,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Congress District 2 (D),Emily Ann Cain,Bucksport,D,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Congress District 2 (D),Emily Ann Cain,Castine,D,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Congress District 2 (D),Emily Ann Cain,Cranberry Isles,D,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Congress District 2 (D),Emily Ann Cain,Dedham,D,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Congress District 2 (D),Emily Ann Cain,Deer Isle,D,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,Congress District 2 (D),Emily Ann Cain,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Congress District 2 (D),Emily Ann Cain,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Frenchboro,D,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Congress District 2 (D),Emily Ann Cain,Gouldsboro,D,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Congress District 2 (D),Emily Ann Cain,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Congress District 2 (D),Emily Ann Cain,Hancock,D,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Lamoine,D,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Congress District 2 (D),Emily Ann Cain,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Congress District 2 (D),Emily Ann Cain,Mount Desert,D,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Orland,D,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Congress District 2 (D),Emily Ann Cain,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Congress District 2 (D),Emily Ann Cain,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Congress District 2 (D),Emily Ann Cain,Penobscot,D,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,Congress District 2 (D),Emily Ann Cain,Sedgwick,D,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,Congress District 2 (D),Emily Ann Cain,Sorrento,D,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,Congress District 2 (D),Emily Ann Cain,Southwest Harbor,D,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,Congress District 2 (D),Emily Ann Cain,Stonington,D,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,Congress District 2 (D),Emily Ann Cain,Sullivan,D,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,Congress District 2 (D),Emily Ann Cain,Surry,D,Surry,378,64,433,368,0.3,0.35,0.3
,,,,Congress District 2 (D),Emily Ann Cain,Swans Island,D,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,Congress District 2 (D),Emily Ann Cain,Tremont,D,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,Congress District 2 (D),Emily Ann Cain,Trenton,D,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,Congress District 2 (D),Emily Ann Cain,Verona Island,D,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Congress District 2 (D),Emily Ann Cain,Waltham,D,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,Congress District 2 (D),Emily Ann Cain,Winter Harbor,D,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senate District 7 (D),Theodore S. Koffman,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,State Senate District 7 (D),Theodore S. Koffman,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,State Senate District 7 (D),Theodore S. Koffman,Bar Harbor,D,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Bar Harbor,D,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,State Senate District 7 (D),Theodore S. Koffman,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,State Senate District 7 (D),Theodore S. Koffman,Brooklin,D,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Brooklin,D,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,State Senate District 7 (D),Theodore S. Koffman,Brooksville,D,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Brooksville,D,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,State Senate District 7 (D),Theodore S. Koffman,Cranberry Isles,D,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Cranberry Isles,D,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,State Senate District 7 (D),Theodore S. Koffman,Deer Isle,D,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Deer Isle,D,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,State Senate District 7 (D),Theodore S. Koffman,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,State Senate District 7 (D),Theodore S. Koffman,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,State Senate District 7 (D),Theodore S. Koffman,Frenchboro,D,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Frenchboro,D,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,State Senate District 7 (D),Theodore S. Koffman,Hancock,D,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Hancock,D,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,State Senate District 7 (D),Theodore S. Koffman,Lamoine,D,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Lamoine,D,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,State Senate District 7 (D),Theodore S. Koffman,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,State Senate District 7 (D),Theodore S. Koffman,Mount Desert,D,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Mount Desert,D,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,State Senate District 7 (D),Theodore S. Koffman,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,State Senate District 7 (D),Theodore S. Koffman,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,State Senate District 7 (D),Theodore S. Koffman,Sedgwick,D,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Sedgwick,D,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,State Senate District 7 (D),Theodore S. Koffman,Sorrento,D,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Sorrento,D,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,State Senate District 7 (D),Theodore S. Koffman,Southwest Harbor,D,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Southwest Harbor,D,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,State Senate District 7 (D),Theodore S. Koffman,Stonington,D,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Stonington,D,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,State Senate District 7 (D),Theodore S. Koffman,Surry,D,Surry,378,64,433,368,0.3,0.35,0.3
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Surry,D,Surry,378,64,433,368,0.3,0.35,0.3
,,,,State Senate District 7 (D),Theodore S. Koffman,Swans Island,D,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Swans Island,D,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,State Senate District 7 (D),Theodore S. Koffman,Tremont,D,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Tremont,D,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,State Senate District 7 (D),Theodore S. Koffman,Trenton,D,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Trenton,D,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,State Senate District 7 (D),Theodore S. Koffman,Waltham,D,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Waltham,D,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,State Senate District 8 (D),Emery A. Deabay,Bucksport,D,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,State Senate District 8 (D),Emery A. Deabay,Castine,D,Castine,307,48,316,375,0.29,0.3,0.36
,,,,State Senate District 8 (D),Emery A. Deabay,Dedham,D,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,State Senate District 8 (D),Emery A. Deabay,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,State Senate District 8 (D),Emery A. Deabay,Orland,D,Orland,446,72,415,648,0.28,0.26,0.41
,,,,State Senate District 8 (D),Emery A. Deabay,Penobscot,D,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,State Senate District 8 (D),Emery A. Deabay,Verona Island,D,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,State Senate District 6 (D),Rock A. Alley,Gouldsboro,D,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,State Senate District 6 (D),Rock A. Alley,Sullivan,D,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,State Senate District 6 (D),Rock A. Alley,Winter Harbor,D,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,Legislature District 130 (D),John Andrew Wombacher,Bucksport,D,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Legislature District 131 (D),Dorothy L. Caldwell,Dedham,D,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Legislature District 131 (D),Dorothy L. Caldwell,Orland,D,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Legislature District 131 (D),Dorothy L. Caldwell,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Legislature District 131 (D),Dorothy L. Caldwell,Penobscot,D,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,Legislature District 131 (D),Dorothy L. Caldwell,Verona Island,D,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Legislature District 132 (D),Louis Joseph Luchini,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Legislature District 132 (D),Louis Joseph Luchini,Trenton,D,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,Legislature District 133 (D),Ralph Chapman,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Legislature District 133 (D),Ralph Chapman,Brooklin,D,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Legislature District 133 (D),Ralph Chapman,Brooksville,D,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Legislature District 133 (D),Ralph Chapman,Castine,D,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Legislature District 133 (D),Ralph Chapman,Sedgwick,D,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,Legislature District 133 (D),Ralph Chapman,Surry,D,Surry,378,64,433,368,0.3,0.35,0.3
,,,,Legislature District 134 (D),Walter A. Kumiega III,Cranberry Isles,D,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Legislature District 134 (D),Walter A. Kumiega III,Deer Isle,D,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,Legislature District 134 (D),Walter A. Kumiega III,Frenchboro,D,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Legislature District 134 (D),Walter A. Kumiega III,Southwest Harbor,D,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,Legislature District 134 (D),Walter A. Kumiega III,Stonington,D,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,Legislature District 134 (D),Walter A. Kumiega III,Swans Island,D,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,Legislature District 134 (D),Walter A. Kumiega III,Tremont,D,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,Legislature District 135 (D),Brian L. Hubbell,Bar Harbor,D,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Legislature District 135 (D),Brian L. Hubbell,Lamoine,D,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Legislature District 135 (D),Brian L. Hubbell,Mount Desert,D,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Legislature District 136 (D),Michael G. Fisher,Gouldsboro,D,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Legislature District 136 (D),Michael G. Fisher,Hancock,D,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,Legislature District 136 (D),Michael G. Fisher,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Legislature District 136 (D),Michael G. Fisher,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Legislature District 136 (D),Michael G. Fisher,Sorrento,D,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,Legislature District 136 (D),Michael G. Fisher,Sullivan,D,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,Legislature District 136 (D),Michael G. Fisher,Waltham,D,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,Legislature District 136 (D),Michael G. Fisher,Winter Harbor,D,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,County Commissioner District 3 (D),Antonio Blasi,Bar Harbor,D,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,County Commissioner District 3 (D),Antonio Blasi,Cranberry Isles,D,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,County Commissioner District 3 (D),Antonio Blasi,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,County Commissioner District 3 (D),Antonio Blasi,Frenchboro,D,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,County Commissioner District 3 (D),Antonio Blasi,Hancock,D,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,County Commissioner District 3 (D),Antonio Blasi,Lamoine,D,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,County Commissioner District 3 (D),Antonio Blasi,Mount Desert,D,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,County Commissioner District 3 (D),Antonio Blasi,Southwest Harbor,D,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,County Commissioner District 3 (D),Antonio Blasi,Swans Island,D,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,County Commissioner District 3 (D),Antonio Blasi,Tremont,D,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,County Commissioner District 3 (D),Antonio Blasi,Trenton,D,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,County Commissioner District 1 (D),Susan E. Walsh,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,County Commissioner District 1 (D),Susan E. Walsh,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,County Commissioner District 1 (D),Susan E. Walsh,Blue Hill,D,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,County Commissioner District 1 (D),Susan E. Walsh,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,County Commissioner District 1 (D),Susan E. Walsh,Ellsworth,D,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,County Commissioner District 1 (D),Susan E. Walsh,Gouldsboro,D,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,County Commissioner District 1 (D),Susan E. Walsh,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,County Commissioner District 1 (D),Susan E. Walsh,Mariaville,D,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,County Commissioner District 1 (D),Susan E. Walsh,Osborn,D,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,County Commissioner District 1 (D),Susan E. Walsh,Otis,D,Otis,131,29,218,193,0.23,0.38,0.34
,,,,County Commissioner District 1 (D),Susan E. Walsh,Sorrento,D,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,County Commissioner District 1 (D),Susan E. Walsh,Sullivan,D,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,County Commissioner District 1 (D),Susan E. Walsh,Surry,D,Surry,378,64,433,368,0.3,0.35,0.3
,,,,County Commissioner District 1 (D),Susan E. Walsh,Waltham,D,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,County Commissioner District 1 (D),Susan E. Walsh,Winter Harbor,D,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,Legislature District 137 (D),Laurie W. Fogelman,Amherst,D,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Legislature District 137 (D),Laurie W. Fogelman,Aurora,D,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Legislature District 137 (D),Laurie W. Fogelman,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Legislature District 137 (D),Laurie W. Fogelman,Franklin,D,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Legislature District 137 (D),Laurie W. Fogelman,Great Pond,D,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Congress District 2 (R),Bruce Poliquin,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Congress District 2 (R),Bruce Poliquin,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Congress District 2 (R),Bruce Poliquin,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Congress District 2 (R),Bruce Poliquin,Brooklin,R,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Congress District 2 (R),Bruce Poliquin,Brooksville,R,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Congress District 2 (R),Bruce Poliquin,Bucksport,R,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Congress District 2 (R),Bruce Poliquin,Castine,R,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Congress District 2 (R),Bruce Poliquin,Dedham,R,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Congress District 2 (R),Bruce Poliquin,Deer Isle,R,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,Congress District 2 (R),Bruce Poliquin,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Congress District 2 (R),Bruce Poliquin,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Franklin,R,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Frenchboro,R,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Congress District 2 (R),Bruce Poliquin,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Congress District 2 (R),Bruce Poliquin,Hancock,R,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Lamoine,R,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Congress District 2 (R),Bruce Poliquin,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Congress District 2 (R),Bruce Poliquin,Mount Desert,R,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Orland,R,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Congress District 2 (R),Bruce Poliquin,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Congress District 2 (R),Bruce Poliquin,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Congress District 2 (R),Bruce Poliquin,Penobscot,R,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Sedgwick,R,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,Congress District 2 (R),Bruce Poliquin,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,Congress District 2 (R),Bruce Poliquin,Southwest Harbor,R,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,Congress District 2 (R),Bruce Poliquin,Stonington,R,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,Congress District 2 (R),Bruce Poliquin,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,Congress District 2 (R),Bruce Poliquin,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,Congress District 2 (R),Bruce Poliquin,Swans Island,R,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Tremont,R,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Trenton,R,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,Congress District 2 (R),Bruce Poliquin,Verona Island,R,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Congress District 2 (R),Bruce Poliquin,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,Congress District 2 (R),Bruce Poliquin,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senator District 6 (R),William W. Howard III,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,State Senator District 6 (R),Joyce A. Maker,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,State Senator District 6 (R),William W. Howard III,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,State Senator District 6 (R),Joyce A. Maker,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,State Senator District 6 (R),William W. Howard III,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senator District 6 (R),Joyce A. Maker,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,State Senator District 7 (R),Brian D. Langley,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,State Senator District 7 (R),Brian D. Langley,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,State Senator District 7 (R),Brian D. Langley,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,State Senator District 7 (R),Brian D. Langley,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,State Senator District 7 (R),Brian D. Langley,Brooklin,R,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,State Senator District 7 (R),Brian D. Langley,Brooksville,R,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,State Senator District 7 (R),Brian D. Langley,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,State Senator District 7 (R),Brian D. Langley,Deer Isle,R,Deer Isle,574,62,416,644,0.34,0.25,0.38
